Категория;Наименование;Цена;Ссылка
Готовая еда;Кофе ЛЕНТА FRESH Флэт Уайт, 250мл;119.99 ₽;https://lenta.com/product/519619-kofe-flet-uajjt-rossiya-250ml/
Готовая еда;Кофе ЛЕНТА FRESH Капучино большой, 270мл;99.99 ₽;https://lenta.com/product/706206-kofe-kapuchino-rossiya-250ml/
Готовая еда;Цыпленок табака ЛЕНТА FRESH, весовой;779.99 ₽;https://lenta.com/product/67782-cyplenok-tabaka-ves-rossiya/
Готовая еда;Сэндвич ЛЕНТА FRESH на ржаном хлебе с лососем, 150г;239.99 ₽;https://lenta.com/product/500029-sendvich-na-rzhanom-hlebe-s-lososem-rossiya-150g/
Готовая еда;Свинина ЛЕНТА FRESH в кисло-сладком соусе с гречневой лапшой, 270г;264.99 ₽;https://lenta.com/product/686179-svinina-v-kislo-sladkom-souse-s-grechnevojj-lapshojj-rossiya-270g/
Готовая еда;Люля-кебаб из говядины ЛЕНТА FRESH;249.99 ₽;https://lenta.com/product/905544-lyulya-kebab-iz-govyadiny-rossiya-200g/
Готовая еда;Биточки паровые ВКУСНО ЖИТЬ с гречкой и овощами, 250г;159.99 ₽;https://lenta.com/product/718155-bitochki-parovye-s-grechkojj-i-ovoshchami-rossiya-250g/
Готовая еда;Оладьи рыбные ЛЕНТА FRESH с овощами, весовые;300.00 ₽;https://lenta.com/product/547724-oladi-rybnye-s-ovoshchami-ves-rossiya/
Готовая еда;Блинчик ржаной;150.00 ₽;https://lenta.com/product/890689-blinchik-rzhanojj-rossiya/
Готовая еда;Яйцо перепелиное QEGG в маринаде, 240г;189.99 ₽;https://lenta.com/product/862788-yajjco-perepelinoe-v-marinade-rossiya-240g/
Готовая еда;Картофель ЛЕНТА FRESH Золотистый, весовой;117.00 ₽;https://lenta.com/product/100582-gc-kartofel-zolotistyjj-ves-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Онежский, весовой;289.50 ₽;https://lenta.com/product/87692-salat-onezhskijj-ves-rossiya/
Готовая еда;Закуска из баклажан с острой аджикой;160.00 ₽;https://lenta.com/product/714316-zakuska-iz-baklazhan-s-ostrojj-adzhikojj-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Сырный, весовой;244.80 ₽;https://lenta.com/product/11294-salat-syrnyjj-ves-rossiya/
Готовая еда;Бургер с куриной котлетой, 130г;99.99 ₽;https://lenta.com/product/740248-burger-s-kurinojj-kotletojj-rossiya-130g/
Готовая еда;Салат ЛЕНТА FRESH Оригинальный, весовой;260.10 ₽;https://lenta.com/product/370953-salat-originalnyjj-ves-rossiya/
Готовая еда;Блинчик шпинатный;179.82 ₽;https://lenta.com/product/890690-blinchik-shpinatnyjj-rossiya/
Готовая еда;Салат САМОЕ ВРЕМЯ Винегрет с квашеной капустой, 250г;129.99 ₽;https://lenta.com/product/740773-salat-vinegret-s-kvashenojj-kapustojj-belarus-250g/
Готовая еда;Минтай ЛЕНТА FRESH в кляре;270.00 ₽;https://lenta.com/product/689219-mintajj-v-klyare-rossiya/
Готовая еда;Пирог с брусникой, 350г;199.99 ₽;https://lenta.com/product/720704-pirog-s-yagodami-brusnika-rossiya-350g/
Готовая еда;Набор для окрошки ЛЕНТА FRESH Вегетарианский, весовой;165.00 ₽;https://lenta.com/product/13636-nabor-dlya-okroshki-vegetarianskijj-ves-rossiya/
Готовая еда;Торт печеночный ЛЕНТА FRESH, весовой;336.03 ₽;https://lenta.com/product/62028-tort-pechenochnyjj-ves-rossiya/
