Категория;Наименование;Цена;Ссылка
Готовая еда;Кофе ЛЕНТА FRESH Флэт Уайт, 250мл;119.99 ₽;https://lenta.com/product/kofe-flet-uajjt-rossiya-250ml-519619/
Готовая еда;Кофе ЛЕНТА FRESH Капучино большой, 270мл;99.99 ₽;https://lenta.com/product/kofe-kapuchino-rossiya-250ml-706206/
Готовая еда;Цыпленок табака ЛЕНТА FRESH, весовой;779.99 ₽;https://lenta.com/product/cyplenok-tabaka-ves-rossiya-67782/
Готовая еда;Сэндвич ЛЕНТА FRESH на ржаном хлебе с лососем, 150г;239.99 ₽;https://lenta.com/product/sendvich-na-rzhanom-hlebe-s-lososem-rossiya-150g-500029/
Готовая еда;Свинина ЛЕНТА FRESH в кисло-сладком соусе с гречневой лапшой, 270г;264.99 ₽;https://lenta.com/product/svinina-v-kislo-sladkom-souse-s-grechnevojj-lapshojj-rossiya-270g-686179/
Готовая еда;Люля-кебаб из говядины ЛЕНТА FRESH;249.99 ₽;https://lenta.com/product/lyulya-kebab-iz-govyadiny-rossiya-200g-905544/
Готовая еда;Биточки паровые ВКУСНО ЖИТЬ с гречкой и овощами, 250г;159.99 ₽;https://lenta.com/product/bitochki-parovye-s-grechkojj-i-ovoshchami-rossiya-250g-718155/
Готовая еда;Оладьи рыбные ЛЕНТА FRESH с овощами, весовые;300.00 ₽;https://lenta.com/product/oladi-rybnye-s-ovoshchami-ves-rossiya-547724/
Готовая еда;Блинчик ржаной;150.00 ₽;https://lenta.com/product/blinchik-rzhanojj-rossiya-890689/
Готовая еда;Яйцо перепелиное QEGG в маринаде, 240г;189.99 ₽;https://lenta.com/product/yajjco-perepelinoe-v-marinade-rossiya-240g-862788/
Готовая еда;Картофель ЛЕНТА FRESH Золотистый, весовой;117.00 ₽;https://lenta.com/product/gc-kartofel-zolotistyjj-ves-rossiya-100582/
Готовая еда;Салат ЛЕНТА FRESH Онежский, весовой;289.50 ₽;https://lenta.com/product/salat-onezhskijj-ves-rossiya-87692/
Готовая еда;Закуска из баклажан с острой аджикой;160.00 ₽;https://lenta.com/product/zakuska-iz-baklazhan-s-ostrojj-adzhikojj-rossiya-714316/
