Категория;Наименование;Цена;Ссылка
Овощи и фрукты;Авокадо ЛЕНТА FRESH Хасс, 700г;399.99 ₽;https://lenta.com/product/770952-avokado-hass-700g/
Овощи и фрукты;Лук репчатый, весовой;19.50 ₽;https://lenta.com/product/303640-luk-repchatyjj-ves-1kg/
Овощи и фрукты;Бананы, весовые;129.99 ₽;https://lenta.com/product/11230-banany-ves/
Овощи и фрукты;Картофель новый урожай, весовой;59.00 ₽;https://lenta.com/product/674938-kartofel-novyjj-urozhajj-ves-egipet/
Овощи и фрукты;Морковь, весовая;25.00 ₽;https://lenta.com/product/303639-morkov-ves-1kg/
Овощи и фрукты;Огурцы среднеплодные гладкие, весовые;45.00 ₽;https://lenta.com/product/162743-ogurcy-sredneplodnye-gladkie-ves/
Овощи и фрукты;Перец красный, весовой;106.75 ₽;https://lenta.com/product/41203-perec-krasnyjj-ves/
Овощи и фрукты;Апельсины, весовые;55.99 ₽;https://lenta.com/product/11225-apelsiny-ves/
Овощи и фрукты;Свекла весовая;27.50 ₽;https://lenta.com/product/300884-svekla-ves-1kg/
Овощи и фрукты;Манго АРТФРУТ, 2шт;449.99 ₽;https://lenta.com/product/687737-mango-rte-2sht/
Овощи и фрукты;Томаты черри, 250г;129.99 ₽;https://lenta.com/product/29129-tomaty-cherri-250g/
Овощи и фрукты;Морковь мытая, весовая;50.00 ₽;https://lenta.com/product/41424-morkov-mytaya-ves/
Овощи и фрукты;Салат листовой, в горшочке;79.99 ₽;https://lenta.com/product/305012-salat-listovojj-v-gorshochke-rossiya-1sht/
Овощи и фрукты;Кукуруза маринованная Sweet&Chilli BBQ, 450г;289.99 ₽;https://lenta.com/product/720024-kukuruza-sweetchilli-450g/
Овощи и фрукты;Огурцы Эстафета/Атлет, весовые;135.00 ₽;https://lenta.com/product/172569-ogurcy-estafeta-atlet-ves-1kg-rossiya/
Овощи и фрукты;Киви, весовое;100.00 ₽;https://lenta.com/product/19377-kivi-ves/
Овощи и фрукты;Ягодный микс мини АРТФРУТ Голубика и физалис, 150г;349.99 ₽;https://lenta.com/product/737995-yagodnyjj-mini-miks-golubfiz-marokko-150g/
Овощи и фрукты;Манго сушеное DELIGHT SEASON Exotic натуральное, 250г;509.99 ₽;https://lenta.com/product/733016-mango-sushenyjj-exotic-naturalnyjj-dojjpak-tailand-250g/
Овощи и фрукты;Чурчхела с фундуком в абрикосовом соке, весовая;660.00 ₽;https://lenta.com/product/667507-churchhela-s-fundukom-v-abrikosovom-soke-ves-rossiya/
Овощи и фрукты;Лук красный, весовой;42.50 ₽;https://lenta.com/product/52603-luk-krasnyjj-ves/
Овощи и фрукты;Салат Айсберг;119.99 ₽;https://lenta.com/product/198359-salat-ajjsberg-kochan-1sht/
Овощи и фрукты;Груши Конференц, весовые;178.49 ₽;https://lenta.com/product/44185-grusha-konferenc-ves/
Овощи и фрукты;Крем-суп Овощной со сливками, 1л;349.99 ₽;https://lenta.com/product/627466-krem-sup-ovoshchnojj-so-slivkami-sterilizovannyjj-i-asepticheski-upakovan-belarus-1000ml/
