Категория;Наименование;Цена;Ссылка
Сыры;Сыр полутвердый ЕСТЕСТВЕННО Ассорти сыров Легкий Для нее 20% и Сливочный Для него 45%, нарезка, без змж, 290г;359.99 ₽;https://lenta.com/product/774171-assorti-syrov-ptv-legkijj-dlya-nee-i-slivochnyjj-dlya-nego-2045-bez-zmzh-rossiya-290g/
Сыры;Сыр твердый ЛИПИН БОР Пармезан 40%, 6 месяцев, без змж, 180г;379.99 ₽;https://lenta.com/product/725318-syr-tverdyjj-parmezan-40-6-mesyacev-bez-zmzh-rossiya-180g/
Сыры;Сыр мягкий BONFESTO Рикотта 40%, без змж, 500г;209.99 ₽;https://lenta.com/product/462268-syr-rikotta-40-bez-zmzh-belarus-500g/
Сыры;Сыр NATURA Сливочный 45%, без змж, 400г;369.00 ₽;https://lenta.com/product/680598-syr-slivochnyjj-45-bez-zmzh-rossiya-400g/
Сыры;Сыр БРЫКИН БОР Качотта 40%, без змж, весовой;510.00 ₽;https://lenta.com/product/694611-syr-kachotta-40-bez-zmzh-ves-rossiya/
Сыры;Сыр твердый EXCELSIOR Formaggio с козьим молоком 45%, без змж, весовой;1399.99 ₽;https://lenta.com/product/746442-syr-formaggio-s-kozim-molokom-tverdyjj-45-bez-zmzh-ves-rossiya/
Сыры;Сыр мягкий CHEF WORKS 40%, без змж, 800г;484.99 ₽;https://lenta.com/product/792625-syr-myagkijj-40-bez-zmzh-belarus-800g/
Сыры;Сыр мягкий FLE Бри с белой плесенью 50%, без змж, 125г;304.99 ₽;https://lenta.com/product/855412-syr-myagkijj-bri-s-belojj-plesenyu-50-bez-zmzh-rossiya-125g/
Сыры;Сыр ДОЛИНА ЛЕГЕНД Крымчанин с трюфелем 50%, без змж, 130г;334.99 ₽;https://lenta.com/product/722647-syr-krymchanin-s-tryufelem-50-bez-zmzh-rossiya-130g/
Сыры;Сыр твердый BURENKA CLUB Марсенталь Арабеск из козьего молока 50%, без змж, 125г;404.99 ₽;https://lenta.com/product/675224-syr-tverdyjj-marsental-arabesk-iz-kozego-moloka-50-bez-zmzh-rossiya-125g/
Сыры;Продукт плавленый Сливочный с сыром 40%, с змж, 70г;14.99 ₽;https://lenta.com/product/455619-produkt-plavlenyjj-s-syrom-slivochnyjj-40-s-zmzh-rossiya-70g/
